    ,rates
AED ,3.672401
AFN ,69.999676
ALL ,93.198325
AMD ,402.50207
ANG ,1.801734
AOA ,830.000173
ARS ,359.996298
AUD ,1.509245
AWG ,1.8025
AZN ,1.706766
BAM ,1.779926
BBD ,2.018429
BDT ,110.219237
BGN ,1.781745
BHD ,0.376898
BIF ,2849.5
BMD ,1.0
BND ,1.331732
BOB ,6.907567
BRL ,4.887603
BSD ,0.99975
BTC ,2.6548343e-05
BTN ,83.251803
BWP ,13.436415
BYN ,3.293153
BYR ,19600.0
BZD ,2.015153
CAD ,1.35811
CDF ,2664.999639
CHF ,0.87321
CLF ,0.031493
CLP ,869.050371
CNY ,7.087604
COP ,3990.75
CRC ,529.58977
CUC ,1.0
CUP ,26.5
CVE ,100.544958
CZK ,22.087048
DJF ,177.719975
DKK ,6.7864
DOP ,56.759741
DZD ,134.20891
EGP ,30.955902
ERN ,15.0
ETB ,55.68033
EUR ,0.91038
FJD ,2.2272
FKP ,0.786789
GBP ,0.78659
GEL ,2.687821
GGP ,0.786789
GHS ,11.999811
GIP ,0.786789
GMD ,67.299239
GNF ,8600.00018
GTQ ,7.823258
GYD ,209.160201
HKD ,7.80547
HNL ,24.750254
HRK ,7.04157
HTG ,132.426886
HUF ,344.230009
IDR ,15442.55
ILS ,3.683796
IMP ,0.786789
INR ,83.334201
IQD ,1310.0
IRR ,42250.000129
ISK ,137.010338
JEP ,0.786789
JMD ,155.600555
JOD ,0.709402
JPY ,147.235044
KES ,153.10442
KGS ,89.037198
KHR ,4120.999836
KMF ,447.850076
KPW ,900.009848
KRW ,1291.270296
KWD ,0.30837
KYD ,0.833087
KZT ,459.165889
LAK ,20692.505048
LBP ,15040.322397
LKR ,329.320756
LRD ,188.050124
LSL ,18.60203
LTL ,2.95274
LVL ,0.60489
LYD ,4.809618
MAD ,10.042497
MDL ,17.815294
MGA ,4499.999921
MKD ,56.078849
MMK ,2099.428909
MNT ,3463.81313
MOP ,8.034547
MRO ,356.999828
MUR ,44.100982
MVR ,15.34984
MWK ,1683.507442
MXN ,17.24726
MYR ,4.673037
MZN ,63.24995
NAD ,18.596194
NGN ,793.999792
NIO ,36.750011
NOK ,10.63905
NPR ,133.202885
NZD ,1.622545
OMR ,0.385004
PAB ,0.99975
PEN ,3.730499
PGK ,3.741
PHP ,55.432992
PKR ,285.725009
PLN ,3.948992
PYG ,7429.182499
QAR ,3.641008
RON ,4.525499
RSD ,106.861181
RUB ,88.705026
RWF ,1245.0
SAR ,3.751525
SBD ,8.475185
SCR ,13.785316
SDG ,600.495095
SEK ,10.34591
SGD ,1.332235
SHP ,1.21675
SLE ,22.620274
SLL ,19750.000249
SOS ,571.52774
SRD ,37.799506
STD ,20697.981008
SYP ,13001.982071
SZL ,18.602126
THB ,34.826505
TJS ,10.931992
TMT ,3.51
TND ,3.093499
TOP ,2.357034
TRY ,28.921897
TTD ,6.782098
TWD ,31.252499
TZS ,2505.000462
UAH ,36.376692
UGX ,3814.178259
USD ,1.0
UYU ,39.20605
UZS ,12325.000435
VEF ,3542503.602654
VES ,35.426495
VND ,24245.0
VUV ,119.730027
WST ,2.745797
XAF ,596.989375
XAG ,0.039883
XAU ,0.000488
XCD ,2.702549
XDR ,0.751187
XOF ,598.495264
XPF ,108.874999
YER ,250.350129
ZAR ,18.70281
ZMK ,9001.201912
ZMW ,23.743282
ZWL ,321.999592
